anime_id,titulo,titulo_ingles,titulo_japones,tipo,fonte,episodios,status,em_exibicao,data_inicio_exibicao,data_fim_exibicao,duracao_min,classificacao_etaria,ano,temporada
128223,Soredemo Ayumu wa Yosetekuru,When Will Ayumu Make His Move?,それでも歩は寄せてくる,TV,MANGA,12.0,FINISHED,False,2022-07-08,2022-09-23,24.0,,2022.0,summer
122441,Peach Boy Riverside,Peach Boy Riverside,ピーチボーイリバーサイド,TV,MANGA,12.0,FINISHED,False,2021-07-01,2021-09-16,24.0,,2021.0,summer
5258,Hajime no Ippo: New Challenger,Hajime no Ippo: The Fighting! New Challenger,はじめの一歩 New Challenger,TV,MANGA,26.0,FINISHED,False,2009-01-06,2009-06-30,23.0,,2009.0,winter
202,Wolf's Rain,Wolf's Rain,ウルフズレイン,TV,ORIGINAL,26.0,FINISHED,False,2003-01-07,2003-07-29,23.0,,2003.0,winter
184322,"Shinjiteita Nakamatachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakamatachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!","My Gift Lvl 9999 Unlimited Gacha: Backstabbed in a Backwater Dungeon, I'm Out for Revenge!",信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！,TV,LIGHT_NOVEL,12.0,FINISHED,False,2025-10-03,2025-12-19,24.0,,2025.0,fall
11761,Medaka Box,Medaka Box,めだかボックス,TV,MANGA,12.0,FINISHED,False,2012-04-05,2012-06-21,24.0,,2012.0,spring
142877,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),Rurouni Kenshin (2023),るろうに剣心 －明治剣客浪漫譚－(2023),TV,MANGA,24.0,FINISHED,False,2023-07-07,2023-12-15,23.0,,2023.0,summer
147571,Isekai wa Smartphone to Tomo ni. 2,In Another World With My Smartphone 2,異世界はスマートフォンとともに。2,TV,LIGHT_NOVEL,12.0,FINISHED,False,2023-04-03,2023-06-19,24.0,,2023.0,spring
140999,Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,劇場版 ソードアート・オンライン プログレッシブ 冥き夕闇のスケルツォ,MOVIE,LIGHT_NOVEL,1.0,FINISHED,False,2022-10-22,2022-10-22,100.0,,2022.0,fall
145604,Shinobi no Ittoki,Shinobi no Ittoki,忍の一時,TV,ORIGINAL,12.0,FINISHED,False,2022-10-04,2022-12-20,24.0,,2022.0,fall
