anime_id,data_coleta,score,scored_by,rank,popularity,members,favorites
185660,2026-08-16,8.3,82983,132.0,224.0,222224,6074
153518,2026-08-16,8.5,81655,88.0,225.0,222118,14130
113717,2026-08-16,8.3,85563,122.0,226.0,222031,10172
20668,2026-08-16,7.7,98717,,227.0,221747,6441
4181,2026-08-16,8.8,100506,24.0,228.0,221610,17462
103139,2026-08-16,6.4,108373,,229.0,221157,5048
100723,2026-08-16,7.4,108293,,20.0,220759,2937
21127,2026-08-16,8.4,97406,101.0,230.0,220639,8378
108759,2026-08-16,7.5,106849,,231.0,219768,5006
182255,2026-08-16,8.8,65733,23.0,232.0,218478,8573
99629,2026-08-16,6.8,83075,,233.0,216763,5216
177709,2026-08-16,7.6,61431,,5.0,216595,4878
147105,2026-08-16,8.5,56602,10.0,6.0,216561,10772
20770,2026-08-16,7.9,77784,365.0,235.0,215872,9061
21175,2026-08-16,7.3,113214,,234.0,215870,7435
127911,2026-08-16,6.8,71642,,236.0,213603,4521
21366,2026-08-16,8.3,70539,144.0,237.0,212578,8740
155783,2026-08-16,8.1,73140,236.0,238.0,210488,8167
108430,2026-08-16,8.3,95216,148.0,239.0,209804,14436
143270,2026-08-16,8.1,78926,272.0,240.0,208959,9788
131646,2026-08-16,7.8,65047,473.0,241.0,207840,7170
20910,2026-08-16,6.9,88416,,242.0,205339,3469
877,2026-08-16,8.5,54837,70.0,243.0,205214,16811
227,2026-08-16,7.9,86057,37.0,1.0,205092,14138
166873,2026-08-16,8.3,85499,137.0,245.0,204171,6144
101004,2026-08-16,6.6,92402,,244.0,204086,3516
181444,2026-08-16,8.4,72289,97.0,246.0,203480,11664
20792,2026-08-16,8.2,114999,204.0,247.0,203175,6644
116674,2026-08-16,8.8,78553,17.0,248.0,202866,11786
154965,2026-08-16,7.7,80536,,249.0,202448,6565
108928,2026-08-16,6.3,89565,,250.0,201320,2580
21421,2026-08-16,7.2,76765,,251.0,201247,4144
100977,2026-08-16,7.4,77104,,252.0,201221,3036
129898,2026-08-16,7.2,74766,,254.0,200434,4629
1210,2026-08-16,8.2,67295,197.0,253.0,200411,11140
578,2026-08-16,8.3,95204,41.0,21.0,200404,7308
162804,2026-08-16,7.5,82245,,255.0,200291,6630
131518,2026-08-16,8.1,67479,249.0,256.0,199614,3931
849,2026-08-16,7.6,79095,,257.0,199163,4456
103047,2026-08-16,8.7,74109,6.0,22.0,198902,8481
176301,2026-08-16,8.8,75993,16.0,258.0,198750,10278
21700,2026-08-16,6.8,87432,,259.0,198358,3415
142770,2026-08-16,8.1,71932,72.0,23.0,198328,6797
105156,2026-08-16,7.3,90003,,260.0,198002,4242
112124,2026-08-16,7.4,75628,,261.0,197982,3888
21711,2026-08-16,7.6,70825,,262.0,197533,5082
103223,2026-08-16,8.1,86489,217.0,263.0,196788,5403
20993,2026-08-16,7.5,92417,,264.0,196401,3839
20631,2026-08-16,6.7,82631,,265.0,195999,3166
20994,2026-08-16,7.4,81555,,266.0,195580,4762
15451,2026-08-16,7.1,104567,,267.0,195456,3300
114308,2026-08-16,7.4,90463,,268.0,195305,5034
98291,2026-08-16,7.4,86314,17.0,2.0,195187,3256
20457,2026-08-16,6.7,81477,,269.0,194894,2619
21196,2026-08-16,7.0,80387,,270.0,194774,3286
10408,2026-08-16,8.0,88505,121.0,24.0,193900,6343
131586,2026-08-16,8.7,90839,38.0,271.0,193857,13650
21403,2026-08-16,7.4,99337,,25.0,193857,3651
12355,2026-08-16,8.3,86765,39.0,26.0,192720,7457
457,2026-08-16,8.5,44310,86.0,272.0,192581,8736
11843,2026-08-16,8.0,76009,333.0,273.0,192153,6476
161964,2026-08-16,8.2,72342,195.0,274.0,192034,6653
178788,2026-08-16,8.6,71770,10.0,27.0,191134,6025
163134,2026-08-16,8.4,66420,111.0,275.0,190995,6330
131942,2026-08-16,8.0,82922,50.0,7.0,190461,5902
21595,2026-08-16,7.3,77489,,276.0,189817,2834
11887,2026-08-16,7.5,77343,,277.0,189758,3417
4654,2026-08-16,7.0,70157,,278.0,189265,2623
2251,2026-08-16,8.1,64625,234.0,279.0,189184,7128
114963,2026-08-16,7.3,88129,,28.0,188984,3923
105228,2026-08-16,7.9,70081,382.0,280.0,188428,8355
20966,2026-08-16,7.3,83631,,281.0,188176,3263
163270,2026-08-16,7.7,64106,,283.0,187940,5765
98034,2026-08-16,8.4,86377,116.0,282.0,187936,4855
356,2026-08-16,6.8,82816,,284.0,187751,2772
154768,2026-08-16,8.2,63143,189.0,285.0,186874,5879
114232,2026-08-16,7.0,79375,,286.0,186446,4276
146066,2026-08-16,7.8,68424,448.0,287.0,186210,4423
2890,2026-08-16,7.9,95710,130.0,29.0,186161,6902
21685,2026-08-16,5.9,93729,,288.0,185526,2380
11597,2026-08-16,7.9,99373,375.0,289.0,185149,3140
111762,2026-08-16,8.5,74394,61.0,290.0,185039,6658
512,2026-08-16,8.1,91493,73.0,30.0,184796,7757
20626,2026-08-16,7.4,85247,,291.0,184511,5121
151970,2026-08-16,8.0,60062,297.0,292.0,184451,6520
777,2026-08-16,8.1,70292,13.0,2.0,183982,8119
113596,2026-08-16,8.3,71227,51.0,31.0,183470,7808
156822,2026-08-16,7.8,58664,498.0,293.0,183153,5003
100112,2026-08-16,6.4,79887,,294.0,182490,3674
18507,2026-08-16,7.2,80008,,295.0,182437,3984
33,2026-08-16,8.4,67895,102.0,296.0,182254,11896
18671,2026-08-16,7.4,94939,,297.0,182133,2742
21428,2026-08-16,7.4,73104,,298.0,181696,4439
16894,2026-08-16,8.0,91074,302.0,299.0,181460,3391
163139,2026-08-16,8.2,60664,202.0,300.0,181422,4115
21701,2026-08-16,6.8,73338,,301.0,180942,3724
2966,2026-08-16,8.0,65726,314.0,302.0,180696,5790
97994,2026-08-16,7.0,87675,,303.0,180353,2702
21058,2026-08-16,7.7,66982,,304.0,180250,5502
106479,2026-08-16,7.3,79157,,305.0,180162,4749
166610,2026-08-16,7.8,64536,493.0,306.0,179485,3699
128546,2026-08-16,8.2,63386,198.0,307.0,179224,7577
21861,2026-08-16,7.2,78262,,308.0,177727,1957
20657,2026-08-16,7.3,67545,,309.0,177378,3209
136804,2026-08-16,8.2,57679,179.0,310.0,177261,4268
13125,2026-08-16,8.0,52291,336.0,311.0,177094,6214
934,2026-08-16,7.6,66794,,312.0,176361,5998
133844,2026-08-16,8.0,65443,350.0,313.0,176206,4844
20745,2026-08-16,7.1,92400,,314.0,176029,3266
166531,2026-08-16,8.5,68897,79.0,315.0,175899,5936
2025,2026-08-16,7.7,54222,,316.0,175746,4138
124194,2026-08-16,8.9,71257,6.0,317.0,175432,12042
109963,2026-08-16,7.6,78428,,318.0,175383,2775
43,2026-08-16,8.0,68008,104.0,32.0,174383,7385
245,2026-08-16,8.4,58158,95.0,319.0,174191,9223
97766,2026-08-16,6.5,83507,,320.0,173716,2206
151806,2026-08-16,7.6,65605,,321.0,173651,4484
108553,2026-08-16,7.9,83879,153.0,34.0,173512,3468
2236,2026-08-16,7.8,77374,190.0,33.0,173499,3452
97922,2026-08-16,7.4,67475,,322.0,173265,3082
105190,2026-08-16,7.0,72805,,323.0,172720,3152
126403,2026-08-16,8.6,47474,5.0,8.0,172520,11266
14467,2026-08-16,7.1,63218,,324.0,172513,3351
174576,2026-08-16,7.9,60764,409.0,325.0,171985,5583
249,2026-08-16,7.7,54291,,326.0,171753,7452
100773,2026-08-16,7.7,84971,,327.0,171459,2221
20987,2026-08-16,6.8,77280,,328.0,171347,3065
21385,2026-08-16,6.7,84570,,329.0,170764,1415
17074,2026-08-16,8.8,82223,22.0,330.0,170752,11584
125206,2026-08-16,7.7,65336,,331.0,170607,5464
143338,2026-08-16,7.8,68598,,333.0,169625,7178
21093,2026-08-16,6.6,78046,,332.0,169589,2910
166613,2026-08-16,8.2,38181,209.0,335.0,169231,4195
99468,2026-08-16,7.4,67456,,334.0,169210,4006
6,2026-08-16,8.0,55918,325.0,336.0,168817,7312
14713,2026-08-16,8.1,66164,286.0,337.0,168409,9899
131565,2026-08-16,6.9,57049,,338.0,168091,3300
18115,2026-08-16,8.1,71196,288.0,339.0,167752,4252
107693,2026-08-16,7.7,59216,,340.0,166464,5631
100183,2026-08-16,6.9,76523,,341.0,166257,2389
142984,2026-08-16,7.8,65088,432.0,342.0,166137,3591
7791,2026-08-16,8.2,77841,187.0,343.0,166057,8254
21858,2026-08-16,7.7,71972,,344.0,165980,5685
9260,2026-08-16,8.3,81347,50.0,35.0,165594,4619
99426,2026-08-16,8.4,62321,110.0,345.0,165548,9589
98444,2026-08-16,8.1,62656,229.0,346.0,165282,8482
107717,2026-08-16,8.1,69804,253.0,347.0,164961,4539
162314,2026-08-16,8.7,81953,,,164888,7649
141014,2026-08-16,7.6,67914,,9.0,164854,4549
10719,2026-08-16,6.8,74272,,348.0,164794,1927
20876,2026-08-16,7.1,81230,,349.0,164656,2252
20602,2026-08-16,7.2,69769,,350.0,163758,2404
14345,2026-08-16,6.8,74220,,351.0,163606,1862
116566,2026-08-16,7.5,60719,,352.0,163009,4145
114888,2026-08-16,7.5,57675,,353.0,162880,3860
141949,2026-08-16,7.6,66567,,354.0,162206,6027
100643,2026-08-16,8.5,68566,18.0,36.0,161789,5194
163132,2026-08-16,8.1,58214,257.0,355.0,161750,4612
131083,2026-08-16,7.2,56734,,356.0,161547,2941
20725,2026-08-16,8.1,80634,239.0,357.0,161458,3749
107201,2026-08-16,6.8,54295,,358.0,160867,2330
20678,2026-08-16,6.3,67358,,359.0,160804,2379
98707,2026-08-16,8.3,58898,145.0,360.0,159115,10006
125426,2026-08-16,7.1,68374,,10.0,158433,3174
153152,2026-08-16,8.1,59074,273.0,361.0,158287,6960
